movie_name,mpaa,mpaa_category,overall_Profanity,overall_Drug/Alcohol,overall_General,overall_Violence,overall_Sexual Content
The-Day-The-Earth-Stood-Still,PG-13,Family-Friendly,0.0,0.0017833259028087382,0.9607668301382077,0.03566651805617477,0.0017833259028087382
The-Corruptor,R,Adult,0.023053501522401043,0.019573727707699,0.8564593301435407,0.08873423227490213,0.012179208351457155
Midnight-Express,R,Adult,0.028315946348733235,0.040611028315946346,0.8237704918032787,0.0890461997019374,0.01825633383010432
Batman-Forever,PG-13,Family-Friendly,0.006226219301279834,0.008993427879626427,0.860255966793497,0.11898996886890349,0.005534417156693186
Crow-The,R,Adult,0.02416052416052416,0.02702702702702703,0.7878787878787878,0.15151515151515152,0.009418509418509418
Cherry-Falls,R,Adult,0.017536355859709155,0.011976047904191617,0.7968349016253208,0.1270316509837468,0.04662104362703165
Mumford,R,Adult,0.00867597133157299,0.02980007544322897,0.936250471520181,0.007921539041870993,0.01735194266314598
The-Witches-of-Eastwick,R,Adult,0.009315772566655958,0.009315772566655958,0.946353999357533,0.018952778670093158,0.016061676839061997
City-of-Joy,PG-13,Family-Friendly,0.008389803162310423,0.017747660535656663,0.9193288157470152,0.04872539528880284,0.005808325266214908
Cars-2,G,Family-Friendly,0.00033647375504710633,0.004374158815612382,0.9451547779273217,0.04946164199192463,0.0006729475100942127
Ford-v-Ferrari,PG-13,Family-Friendly,0.007575757575757576,0.008308895405669599,0.9638318670576735,0.018328445747800588,0.0019550342130987292
Beauty-and-the-Beast,G,Family-Friendly,0.0008254230293025176,0.0024762690879075525,0.9302517540239372,0.06438299628559636,0.0020635575732562937
Roughshod,NR,Adult,0.0008774495466510676,0.009944428195378765,0.9435507458321146,0.04387247733255338,0.0017548990933021352
Birds-The,NR,Adult,0.00117096018735363,0.009953161592505855,0.9508196721311475,0.03483606557377049,0.0032201405152224825
17-Again,PG-13,Family-Friendly,0.007407407407407408,0.007818930041152264,0.9440329218106996,0.023045267489711935,0.017695473251028805
Troy,R,Adult,0.00027114967462039046,0.0067787418655097615,0.8644251626898047,0.12066160520607375,0.007863340563991324
Breaking-Away,PG,Family-Friendly,0.012433392539964476,0.007104795737122558,0.9566607460035524,0.018827708703374777,0.00497335701598579
Soul,PG,Family-Friendly,0.0029890401859847225,0.0009963467286615742,0.9767519096645633,0.01693789438724676,0.002324809033543673
Aladdin,G,Family-Friendly,0.005719733079122974,0.0014299332697807435,0.9399428026692088,0.04861773117254528,0.004289799809342231
Angel-Eyes,R,Adult,0.012227362855254461,0.008592200925313946,0.9444811632518176,0.027098479841374753,0.00760079312623926
Anchorman,PG-13,Family-Friendly,0.016686069072564997,0.02483507954986418,0.9072564998059759,0.028327512611563833,0.022894838960031045
Glengarry-Glen-Gross,R,Adult,0.08511722731906218,0.00764525993883792,0.9011213047910296,0.0050968399592252805,0.0010193679918450561
Rush-Hour,PG-13,Family-Friendly,0.038461538461538464,0.009410801963993453,0.8408346972176759,0.10842880523731588,0.0028641571194762683
Ninth-Gate-The,R,Adult,0.005636070853462158,0.01932367149758454,0.927938808373591,0.03784219001610306,0.009259259259259259
King-Kong,PG-13,Family-Friendly,0.0047877433769549956,0.008617938078518992,0.8496648579636131,0.13341844877114586,0.0035110118097669966
Frozen-River,R,Adult,0.005982512655315232,0.011044638748274275,0.9553612517257248,0.026691210308329497,0.0009203865623561896
Gremlins,PG,Family-Friendly,0.008056042031523642,0.005253940455341506,0.9071803852889667,0.07845884413309982,0.0010507880910683013
Space-Cowboys,PG-13,Family-Friendly,0.019707781175671082,0.0057764186204553175,0.9483520217465171,0.02072714916751614,0.0054366292898402994
Thunderbirds,PG,Family-Friendly,0.0046204620462046205,0.0013201320132013201,0.9498349834983498,0.04026402640264026,0.0039603960396039604
Pawn-Sacrifice,PG-13,Family-Friendly,0.013884297520661157,0.009256198347107438,0.9573553719008264,0.01256198347107438,0.006942148760330578
Se7en,R,Adult,0.013144329896907217,0.013917525773195877,0.8935567010309279,0.07010309278350516,0.009278350515463918
Ghost-Ship,R,Adult,0.0004926108374384236,0.010344827586206896,0.9492610837438423,0.03891625615763547,0.0009852216748768472
Charlies-Angels,PG-13,Family-Friendly,0.012633996937212864,0.014931087289433384,0.8839969372128637,0.07542113323124043,0.013016845329249618
Natural-Born-Killers,R,Adult,0.03398058252427184,0.008566533409480296,0.8101085094231868,0.13249571673329527,0.014848657909765849
Basic,R,Adult,0.027500996412913512,0.027102431247508968,0.8274212833798326,0.1151853328019131,0.0027899561578318055
Cirque-du-Freak-The-Vampires-Assistant,PG-13,Family-Friendly,0.0031725888324873096,0.006027918781725888,0.9038705583756346,0.08439086294416244,0.0025380710659898475
Blue-Velvet,R,Adult,0.014080100125156446,0.01877346683354193,0.898936170212766,0.03723404255319149,0.03097622027534418
Ferris-Buellers-Day-Off,PG-13,Family-Friendly,0.013610071452875128,0.012929567880231372,0.9482817284790745,0.018033344675059543,0.007145287512759442
Gold,R,Adult,0.020755260882098586,0.03776304410492937,0.919573364081868,0.013836840588065724,0.00807149034303834
Star-Trek-02-The-Wrath-Of-Khan,PG,Family-Friendly,0.005931784478497282,0.007414730598121601,0.9411764705882353,0.044488383588729606,0.0009886307464162135
Land-of-Mine,R,Adult,0.01520387007601935,0.010711817553559088,0.9257083621285418,0.04595715272978576,0.0024187975120939877
Year-One,PG-13,Family-Friendly,0.007766990291262136,0.006601941747572815,0.8780582524271845,0.07766990291262135,0.029902912621359225
Honey-Boy,R,Adult,0.06175115207373272,0.035483870967741936,0.8746543778801843,0.020737327188940093,0.007373271889400922
Eye-in-the-Sky,R,Adult,0.013094417643004824,0.0034458993797381117,0.9534803583735355,0.028256374913852515,0.0017229496898690559
